province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Belgorod Oblast,Russia,8208.0,57.0,7521.0,630.0,529.5907543571228,0.6944444444444444
Bryansk Oblast,Russia,8927.0,37.0,7288.0,1602.0,737.1703295342128,0.41447294723871403
Buryatia Republic,Russia,6152.0,62.0,5223.0,867.0,624.878746910903,1.0078023407022108
Chechen Republic,Russia,2374.0,40.0,1811.0,523.0,165.20747316770368,1.6849199663016006
Chelyabinsk Oblast,Russia,14928.0,122.0,10969.0,3837.0,427.3646192023214,0.817256162915327
Chukotka Autonomous Okrug,Russia,182.0,2.0,172.0,8.0,368.809272918862,1.098901098901099
Chuvashia Republic,Russia,8301.0,85.0,7047.0,1169.0,674.2657277902912,1.0239730152993616
Dagestan Republic,Russia,12514.0,543.0,10744.0,1227.0,408.4356952039648,4.3391401630174204
Ingushetia Republic,Russia,5136.0,78.0,4408.0,650.0,1052.3662873968071,1.5186915887850467
Irkutsk Oblast,Russia,18211.0,274.0,14815.0,3122.0,757.4676762908168,1.5045851408489375
Ivanovo Oblast,Russia,8184.0,130.0,6708.0,1346.0,806.5867307415591,1.5884652981427174
Jewish Autonomous Okrug,Russia,772.0,10.0,642.0,120.0,476.50203068870593,1.2953367875647668
Kabardino-Balkarian Republic,Russia,7191.0,86.0,6344.0,761.0,830.5344710496772,1.1959393686552635
